Fecha,Ubicacion,Colonia,Municipio,Address,Tipo,Google Maps URL,latitude,longitude
44340,VICENTE GUERRERO 112 ESQUINA MELCHOR OCAMPO COL. MIGUEL HIDALGO DE PINO SUAREZ,TEPANCO DE LÓPEZ CENTRO,TEPANCO DE LÓPEZ,"TEPANCO DE LÓPEZ CENTRO, TEPANCO DE LÓPEZ, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.5537917,-97.5605324",18.5537917,-97.5605324
44340,DOMICILIO CONOCIDO,CUAUTEMPAN CENTRO,CUAUTEMPAN,"CUAUTEMPAN CENTRO, CUAUTEMPAN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.9151212,-97.79496940000001",19.9151212,-97.7949694
44343,ELEKTRA 15 - CERRADA DE LA ESTRELLA,GALAXIA LA CALERA,PUEBLA,"GALAXIA LA CALERA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9951497,-98.1575627",18.9951497,-98.1575627
44346,CALLE SEDESOL #29 ENTRE 17 Y 24 DE FEBRERO,ALATRISTE,TEHUACÁN,"ALATRISTE, TEHUACÁN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.4760792,-97.4171811",18.4760792,-97.4171811
44366,IGNACIO ALLENDE 12945 ESQ VENUSTIANO CARRANZA,GUADALUPE HIDALGO,PUEBLA,"GUADALUPE HIDALGO, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9788043,-98.2472773",18.9788043,-98.2472773
44367,CARRETERA A TOTOLA ·2,SAN ANDRÉS CALPAN CENTRO,CALPAN,"SAN ANDRÉS CALPAN CENTRO, CALPAN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.1059204,-98.4677851",19.1059204,-98.4677851
44382,CALLE UNIVERSIDAD DE VERACRUZ NUM 1628 - U.CHAPINGO,FRACCIONAMIENTO ARBOLEDAS,PUEBLA,"FRACCIONAMIENTO ARBOLEDAS, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9845829,-98.1987371",18.9845829,-98.1987371
44405,CARR SANTA CRUZ ALTURA KM 3,SANTA CRUZ ALPUYECA,PUEBLA,"SANTA CRUZ ALPUYECA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9816665,-98.0808332",18.9816665,-98.0808332
44417,CALLE 20 DE NOVIEMBRE S-N,BARRIO CHIGNAULINGO,TEZIUTLÁN,"BARRIO CHIGNAULINGO, TEZIUTLÁN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.8326719,-97.3476048",19.8326719,-97.3476048
44440,CALLE BENITO JUAREZ,LA CRUZ,CHIETLA,"LA CRUZ, CHIETLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.5120183,-98.60369949999999",18.5120183,-98.6036995
